PartitionKey,Scaled Sentiment Index
Bernie Sanders,13.08586393
Bernie Sanders,25.27237806
Bernie Sanders,19.20475038
Bernie Sanders,0.697152872
Bernie Sanders,3.813015145
Bernie Sanders,19.20475038
Bernie Sanders,31.62089692
Bernie Sanders,6.916492749
Bernie Sanders,28.28684086
Bernie Sanders,7.260511328
Bernie Sanders,-28.96464502
Bernie Sanders,54.5017446
Bernie Sanders,-5.571295656
Bernie Sanders,3.813015145
Bernie Sanders,-63.69942688
Bernie Sanders,14.1944638
Bernie Sanders,-37.62522674
Bernie Sanders,60.25373524
Bernie Sanders,60.25373524
Bernie Sanders,79.02958123
Bernie Sanders,28.28684086
Bernie Sanders,14.79064799
Bernie Sanders,1.390694327
Bernie Sanders,-30.40255667
Bernie Sanders,93.60375631
Bernie Sanders,22.24501457
Bernie Sanders,65.95094092
Bernie Sanders,-21.09685412
Bernie Sanders,11.71925012
Bernie Sanders,-54.07464709
Bernie Sanders,-67.05094188
Bernie Sanders,25.60796819
Bernie Sanders,13.08586393
Bernie Sanders,-94.59410135
Bernie Sanders,31.28823095
Bernie Sanders,23.00305951
Bernie Sanders,13.08586393
Bernie Sanders,-50.76329626
Bernie Sanders,24.68470833
Bernie Sanders,-40.89340323
Bernie Sanders,-55.18083883
Bernie Sanders,0.697238877
Bernie Sanders,-34.00692533
Bernie Sanders,17.17074053
Bernie Sanders,7.260597333
Bernie Sanders,-35.45266341
Bernie Sanders,68.77894564
Bernie Sanders,7.260511328
Bernie Sanders,-2.082775258
Bernie Sanders,10.35014218
Bernie Sanders,49.01946453
Bernie Sanders,-33.64587783
Bernie Sanders,-30.76240011
Bernie Sanders,60.25373524
Bernie Sanders,-11.53614779
Bernie Sanders,17.84940318
Bernie Sanders,0.697238877
Bernie Sanders,-43.80767062
Bernie Sanders,-23.23578963
Bernie Sanders,-17.10030428
Bernie Sanders,54.82271394
Bernie Sanders,-2.43092206
Bernie Sanders,-47.09648823
Bernie Sanders,-25.73766475
Bernie Sanders,37.25170701
Bernie Sanders,7.260511328
Bernie Sanders,-58.50620842
Bernie Sanders,-18.25293853
Bernie Sanders,-27.52905549
Bernie Sanders,28.28684086
Bernie Sanders,28.28684086
Bernie Sanders,-24.66458479
Bernie Sanders,-82.44379517
Bernie Sanders,-55.18083883
Bernie Sanders,13.08586393
Bernie Sanders,10.00749968
Bernie Sanders,-67.42394402
Bernie Sanders,105.7340234
Bernie Sanders,49.01946453
Bernie Sanders,-5.22177278
Bernie Sanders,42.83530055
Bernie Sanders,3.813015145
Bernie Sanders,17.84940318
Bernie Sanders,60.25373524
Bernie Sanders,17.84940318
Bernie Sanders,-8.372896958
Bernie Sanders,-58.50620842
Bernie Sanders,0.697152872
Bernie Sanders,23.92846948
Bernie Sanders,14.4500696
Bernie Sanders,7.260511328
Bernie Sanders,31.62089692
Bernie Sanders,0.697152872
Bernie Sanders,105.7340234
Bernie Sanders,74.39332885
Bernie Sanders,74.39332885
Bernie Sanders,-43.80767062
Bernie Sanders,-62.95600273
Bernie Sanders,-2.43092206
Bernie Sanders,70.34405817
Bernie Sanders,-12.24061183
Bernie Sanders,3.813015145
Bernie Sanders,-5.571295656
