PartitionKey,timeOfTweet,,,Prob,0.695411405
Ben Carson,Sun Feb 28 15:51:14 +0000 2016,,,0.758947074,91.36414545
Ben Carson,Sun Feb 28 15:51:15 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:51:21 +0000 2016,,,0.657858849,-54.00048941
Ben Carson,Sun Feb 28 15:51:23 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:51:24 +0000 2016,,,0.658558607,-52.99423902
Ben Carson,Sun Feb 28 15:51:26 +0000 2016,,,0.678665578,-24.080461
Ben Carson,Sun Feb 28 15:51:40 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:51:49 +0000 2016,,,0.738091052,61.37323382
Ben Carson,Sun Feb 28 15:51:58 +0000 2016,,,0.7105546,21.77587923
Ben Carson,Sun Feb 28 15:52:17 +0000 2016,,,0.675202608,-29.06020389
Ben Carson,Sun Feb 28 15:52:18 +0000 2016,,,0.727909267,46.73185043
Ben Carson,Sun Feb 28 15:52:28 +0000 2016,,,0.758947074,91.36414545
Ben Carson,Sun Feb 28 15:52:30 +0000 2016,,,0.734136283,55.6862851
Ben Carson,Sun Feb 28 15:52:33 +0000 2016,,,0.734136283,55.6862851
Ben Carson,Sun Feb 28 15:52:37 +0000 2016,,,0.760237992,93.22048256
Ben Carson,Sun Feb 28 15:52:38 +0000 2016,,,0.734136283,55.6862851
Ben Carson,Sun Feb 28 15:52:50 +0000 2016,,,0.648378015,-67.63390688
Ben Carson,Sun Feb 28 15:53:02 +0000 2016,,,0.697117269,2.453028181
Ben Carson,Sun Feb 28 15:53:04 +0000 2016,,,0.728413045,47.45628203
Ben Carson,Sun Feb 28 15:53:12 +0000 2016,,,0.734136283,55.6862851
Ben Carson,Sun Feb 28 15:53:17 +0000 2016,,,0.752737522,82.43482397
Ben Carson,Sun Feb 28 15:53:21 +0000 2016,,,0.660400093,-50.34618639
Ben Carson,Sun Feb 28 15:53:22 +0000 2016,,,0.722953022,39.60478153
Ben Carson,Sun Feb 28 15:53:24 +0000 2016,,,0.734136283,55.6862851
Ben Carson,Sun Feb 28 15:53:25 +0000 2016,,,0.73103416,51.22543937
Ben Carson,Sun Feb 28 15:53:26 +0000 2016,,,0.758947074,91.36414545
Ben Carson,Sun Feb 28 15:53:28 +0000 2016,,,0.691837549,-5.139197026
Ben Carson,Sun Feb 28 15:53:30 +0000 2016,,,0.649987996,-65.31875791
Ben Carson,Sun Feb 28 15:53:39 +0000 2016,,,0.734136283,55.6862851
Ben Carson,Sun Feb 28 15:53:50 +0000 2016,,,0.738091052,61.37323382
Ben Carson,Sun Feb 28 15:53:59 +0000 2016,,,0.730589151,50.58551745
Ben Carson,Sun Feb 28 15:54:05 +0000 2016,,,0.661667287,-48.52396434
Ben Carson,Sun Feb 28 15:54:06 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:54:12 +0000 2016,,,0.735898674,58.2205993
